,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rafraf,TN,37.1904,10.1837,73.71,69,3,14.79,clear sky
80,Muncar,ID,-8.4333,114.3333,75.4,93,93,3.51,overcast clouds
81,Kostyantynivka,UA,48.5277,37.7069,64.9,79,100,17.31,moderate rain
82,Mgandu,TZ,-5.95,34.1333,71.01,24,35,6.4,scattered clouds
83,Jutai,BR,-5.1833,-68.9,73.44,98,99,2.95,overcast clouds
84,Sidi Ali,DZ,36.0998,0.4206,78.37,46,47,10.92,scattered clouds
85,Bilma,NE,18.6853,12.9164,95.16,11,0,9.15,clear sky
86,Upernavik,GL,72.7868,-56.1549,23.36,87,17,10.02,few clouds
87,Kargasok,RU,59.0556,80.8572,28.38,83,25,6.02,scattered clouds
88,Dunmore East,IE,52.1514,-6.9861,62.69,75,75,3.44,broken clouds
89,Bandarbeyla,SO,9.4942,50.8122,76.8,84,79,24.83,broken clouds
90,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,100,75,21.65,light rain
91,Thompson,CA,55.7435,-97.8558,62.76,48,75,17.27,broken clouds
92,Manta,EC,-0.95,-80.7333,76.78,73,100,10.36,overcast clouds
93,Bengkulu,ID,-3.8004,102.2655,74.95,93,100,8.48,light rain
94,Hirara,JP,24.8,125.2833,81.93,69,18,10.78,few clouds
95,Nikolskoye,RU,59.7035,30.7861,47.91,96,93,5.01,overcast clouds
96,Kodiak,US,57.79,-152.4072,47.71,87,100,0.0,overcast clouds
97,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,75,9.22,broken clouds
98,Matiri,TZ,-10.75,34.9,68.56,39,8,5.7,clear sky
99,Provideniya,RU,64.3833,-173.3,33.94,84,18,9.1,few clouds
100,Andenes,NO,69.3143,16.1194,39.18,87,43,4.61,scattered clouds
101,Hilo,US,19.7297,-155.09,84.27,76,0,5.75,clear sky
102,Tondano,ID,1.3038,124.9112,66.29,87,75,2.13,broken clouds
103,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,65,0,8.95,clear sky
104,Norman Wells,CA,65.282,-126.8329,30.24,93,75,10.36,broken clouds
105,Castro,BR,-24.7911,-50.0119,73.2,55,56,4.72,broken clouds
106,Cidreira,BR,-30.1811,-50.2056,65.16,76,45,7.85,scattered clouds
107,Galesong,ID,-5.3166,119.3661,75.22,80,98,6.2,overcast clouds
108,Coihaique,CL,-45.5752,-72.0662,63.21,36,100,8.05,overcast clouds
109,Port Elizabeth,ZA,-33.918,25.5701,69.1,91,0,12.66,clear sky
110,Tasiilaq,GL,65.6145,-37.6368,37.56,97,100,28.48,light rain
111,Ciudad Bolivar,VE,8.1222,-63.5497,92.52,45,50,6.42,scattered clouds
112,Olga,RU,43.7444,135.2892,55.85,86,100,1.28,overcast clouds
113,Ostrovnoy,RU,68.0531,39.5131,35.71,82,76,7.45,broken clouds
114,Torbay,CA,47.6666,-52.7314,51.76,60,75,11.99,broken clouds
115,Husavik,IS,66.0449,-17.3389,45.61,87,99,7.16,overcast clouds
116,Ponta Do Sol,PT,32.6667,-17.1,76.01,80,43,4.94,scattered clouds
117,Baruun-Urt,MN,46.6806,113.2792,26.82,54,100,16.08,overcast clouds
118,Pilar,BR,-9.5972,-35.9567,84.13,56,1,10.69,clear sky
119,Naryan-Mar,RU,67.6713,53.087,40.3,95,100,3.33,overcast clouds
120,Pevek,RU,69.7008,170.3133,31.06,95,100,5.91,overcast clouds
121,Mahebourg,MU,-20.4081,57.7,71.89,68,75,9.22,broken clouds
122,Hofn,IS,64.2539,-15.2082,47.95,71,34,9.84,scattered clouds
123,Anchorage,US,61.2181,-149.9003,44.65,94,100,0.0,light rain
124,Mecca,SA,21.4267,39.8261,84.09,46,0,2.8,clear sky
125,Yueyang,CN,29.3333,113.0919,85.93,51,2,10.07,clear sky
126,Mar Del Plata,AR,-38.0023,-57.5575,59.02,70,0,18.41,clear sky
127,Atar,MR,20.5169,-13.0499,97.72,18,0,1.41,clear sky
128,Nuuk,GL,64.1835,-51.7216,38.01,75,20,8.05,few clouds
129,Lompoc,US,34.6391,-120.4579,70.79,79,100,3.44,overcast clouds
130,Touros,BR,-5.1989,-35.4608,82.42,57,4,16.15,clear sky
131,Tautira,PF,-17.7333,-149.15,77.41,74,75,12.55,light rain
132,Vao,NC,-22.6667,167.4833,70.48,69,100,10.63,light rain
133,Mbini,GQ,1.574,9.6134,77.43,83,99,4.25,overcast clouds
134,Lorengau,PG,-2.0226,147.2712,82.06,74,14,7.31,few clouds
135,Cape Town,ZA,-33.9258,18.4232,61.92,71,20,9.22,few clouds
136,Hamilton,US,39.1834,-84.5333,70.59,59,75,23.02,broken clouds
137,Pamplona,ES,42.8169,-1.6432,71.98,68,0,12.66,clear sky
