,City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
240,Waddan,LY,83.68,46,clear sky,29.1614,16.139,محل الشريف محمد العايب
242,Sao Filipe,CV,77.4,73,broken clouds,14.8961,-24.4956,Hotel Xaguate
244,Sigiriya,LK,75.87,84,overcast clouds,7.9518,80.7426,Hotel Sigiriya
247,Bubaque,GW,80.87,72,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
249,San Patricio,US,86.16,34,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
251,Dingle,PH,76.5,92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
253,Honiara,SB,76.39,87,scattered clouds,-9.4333,159.95,Heritage Park Hotel
255,Qandala,SO,86.61,57,scattered clouds,11.472,49.8728,
260,Eydhafushi,MV,81.27,77,light rain,5.1033,73.0708,Soneva Fushi
262,Coahuayana,MX,85.98,64,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
264,Vila Velha,BR,84.15,76,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
270,Gualaquiza,EC,80.65,44,light rain,-3.4,-78.55,Hotel Merceditas
274,Esna,EG,91.42,11,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
275,Giddarbaha,IN,78.73,39,clear sky,30.2,74.6667,panchayti dharamshala gidderbaha
276,Russell,US,79.88,47,clear sky,32.3502,-85.1999,Macs
277,Hambantota,LK,79.83,79,overcast clouds,6.1241,81.1185,Bungalow 63
279,Acapulco,MX,82.85,76,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
281,Harper,LR,77.41,84,broken clouds,4.375,-7.7169,Screensaver
282,Mana,GF,86.59,63,scattered clouds,5.6592,-53.7767,LE SAMANA
283,Lethem,GY,90.61,50,scattered clouds,3.3803,-59.7968,Savannah Inn
285,Pitimbu,BR,81.19,69,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
288,Abu Kamal,SY,85.93,16,clear sky,34.4506,40.9171,البوكمال
294,Minna,NG,82.11,69,few clouds,9.6139,6.5569,Royal Park hotel & suites
296,Bani,DO,83.86,63,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
298,Kokopo,PG,75.65,84,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
300,Acari,PE,76.89,50,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
302,Panlaitan,PH,82.36,74,broken clouds,12.1191,119.8486,SOUTH BEACH
303,Stabat,ID,79.0,98,overcast clouds,3.761,98.4513,Link VII damai
304,Cascais,PT,85.86,28,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
305,Vanimo,PG,76.6,91,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
307,Iramuco,MX,76.14,49,broken clouds,19.95,-100.9167,La Hacienda Centro Cultural y de Entretenimiento
310,Abu Samrah,SY,80.1,36,few clouds,35.3029,37.1841,
311,Isangel,VU,75.58,85,broken clouds,-19.55,169.2667,Tanna Lodge
316,Kwale,NG,75.18,91,overcast clouds,5.7063,6.4374,Benvo Twin Hotel 1
319,Porto Novo,BJ,78.62,83,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
320,Redwater,US,79.92,39,clear sky,33.3582,-94.2544,Nettles Nest Country Inn
321,Padampur,IN,85.42,29,clear sky,29.6833,73.6167,Sidhu wali dhani
329,Porto Velho,BR,89.65,51,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
